row,name,s_name,ofs,type,typename
175,end_sys_fields,69993,198,32768,
176,FALSE,70008,199,2,float
177,IMMEDIATE,70014,199,2,float
178,TRUE,70024,200,2,float
179,IMMEDIATE,70014,200,2,float
180,FL_FLY,70029,200,2,float
181,FL_SWIM,70036,201,2,float
182,IMMEDIATE,70014,201,2,float
183,FL_CLIENT,70044,202,2,float
184,IMMEDIATE,70014,202,2,float
185,FL_INWATER,70054,203,2,float
186,IMMEDIATE,70014,203,2,float
187,FL_MONSTER,70065,204,2,float
188,IMMEDIATE,70014,204,2,float
189,FL_GODMODE,70076,205,2,float
190,IMMEDIATE,70014,205,2,float
191,FL_NOTARGET,70087,206,2,float
192,IMMEDIATE,70014,206,2,float
193,FL_ITEM,70099,207,2,float
194,IMMEDIATE,70014,207,2,float
195,FL_ONGROUND,70107,208,2,float
196,IMMEDIATE,70014,208,2,float
197,FL_PARTIALGROUND,70119,209,2,float
198,IMMEDIATE,70014,209,2,float
199,FL_WATERJUMP,70136,210,2,float
200,IMMEDIATE,70014,210,2,float
201,FL_JUMPRELEASED,70149,211,2,float
202,IMMEDIATE,70014,211,2,float
203,MOVETYPE_NONE,70165,199,2,float
204,MOVETYPE_WALK,70179,212,2,float
205,IMMEDIATE,70014,212,2,float
206,MOVETYPE_STEP,70193,213,2,float
207,IMMEDIATE,70014,213,2,float
208,MOVETYPE_FLY,70207,214,2,float
209,IMMEDIATE,70014,214,2,float
210,MOVETYPE_TOSS,70220,215,2,float
211,IMMEDIATE,70014,215,2,float
212,MOVETYPE_PUSH,70234,216,2,float
213,IMMEDIATE,70014,216,2,float
214,MOVETYPE_NOCLIP,70248,202,2,float
215,MOVETYPE_FLYMISSILE,70264,217,2,float
216,IMMEDIATE,70014,217,2,float
217,MOVETYPE_BOUNCE,70284,218,2,float
218,IMMEDIATE,70014,218,2,float
219,MOVETYPE_BOUNCEMISSILE,70300,219,2,float
220,IMMEDIATE,70014,219,2,float
221,SOLID_NOT,70323,199,2,float
222,SOLID_TRIGGER,70333,200,2,float
223,SOLID_BBOX,70347,201,2,float
224,SOLID_SLIDEBOX,70358,212,2,float
225,SOLID_BSP,70373,213,2,float
226,RANGE_MELEE,70383,199,2,float
227,RANGE_NEAR,70395,200,2,float
228,RANGE_MID,70406,201,2,float
229,RANGE_FAR,70416,212,2,float
230,DEAD_NO,70426,199,2,float
231,DEAD_DYING,70434,200,2,float
232,DEAD_DEAD,70445,201,2,float
233,DEAD_RESPAWNABLE,70455,212,2,float
234,DAMAGE_NO,70472,199,2,float
235,DAMAGE_YES,70482,200,2,float
236,DAMAGE_AIM,70493,201,2,float
237,IT_AXE,70504,211,2,float
238,IT_SHOTGUN,70511,200,2,float
239,IT_SUPER_SHOTGUN,70522,201,2,float
240,IT_NAILGUN,70539,213,2,float
241,IT_SUPER_NAILGUN,70550,202,2,float
242,IT_GRENADE_LAUNCHER,70567,203,2,float
243,IT_ROCKET_LAUNCHER,70587,204,2,float
244,IT_LIGHTNING,70606,205,2,float
245,IT_EXTRA_WEAPON,70619,206,2,float
246,IT_SHELLS,70635,207,2,float
247,IT_NAILS,70645,208,2,float
248,IT_ROCKETS,70654,209,2,float
249,IT_CELLS,70665,210,2,float
250,IT_ARMOR1,70674,220,2,float
251,IMMEDIATE,70014,220,2,float
252,IT_ARMOR2,70684,221,2,float
253,IMMEDIATE,70014,221,2,float
254,IT_ARMOR3,70694,222,2,float
255,IMMEDIATE,70014,222,2,float
256,IT_SUPERHEALTH,70704,223,2,float
257,IMMEDIATE,70014,223,2,float
258,IT_KEY1,70719,224,2,float
259,IMMEDIATE,70014,224,2,float
260,IT_KEY2,70727,225,2,float
261,IMMEDIATE,70014,225,2,float
262,IT_INVISIBILITY,70735,226,2,float
263,IMMEDIATE,70014,226,2,float
264,IT_INVULNERABILITY,70751,227,2,float
265,IMMEDIATE,70014,227,2,float
266,IT_SUIT,70770,228,2,float
267,IMMEDIATE,70014,228,2,float
268,IT_QUAD,70778,229,2,float
269,IMMEDIATE,70014,229,2,float
270,CONTENT_EMPTY,70786,230,2,float
271,IMMEDIATE,70014,230,2,float
272,CONTENT_SOLID,70800,231,2,float
273,IMMEDIATE,70014,231,2,float
274,CONTENT_WATER,70814,232,2,float
275,IMMEDIATE,70014,232,2,float
276,CONTENT_SLIME,70828,233,2,float
277,IMMEDIATE,70014,233,2,float
278,CONTENT_LAVA,70842,234,2,float
279,IMMEDIATE,70014,234,2,float
280,CONTENT_SKY,70855,235,2,float
281,IMMEDIATE,70014,235,2,float
282,STATE_TOP,70867,199,2,float
283,STATE_BOTTOM,70877,200,2,float
284,STATE_UP,70890,201,2,float
285,STATE_DOWN,70899,212,2,float
286,VEC_ORIGIN,70910,236,3,vector
287,VEC_HULL_MIN,70921,239,3,vector
288,VEC_HULL_MAX,70934,242,3,vector
289,VEC_HULL2_MIN,70947,245,3,vector
290,VEC_HULL2_MAX,70961,248,3,vector
